文件名	所属表	表中文名	
BalanceSheet.xls	BalanceSheet	资产负债表	
BalanceSheet_Text.csv	BalanceReport	资产负债报告	
CashFlow.xls	CashFlow	现金流量表	
CashFlow_Text.csv	CashFlowReport	现金流量报告	
ProfitStatement.xls	ProfitTable	利润表	
ProfitStatement_Text.csv	ProfitReport	利润报告	
FinanceSummary.csv	FinanceSummary	财务摘要	
FinancialGuideLine*	FinanceGuideLine	财务指标	
AchievementNotice.csv	AchievementNotice	业绩预告	
AssetDevalue*	AssetDevalue	资产减值表	
BadAccount*	BadAccount	坏账准备表	
PayTax.csv	PayTax	应交增值税表	
BenifitChange.csv	BenifitChange	股东权益增减	
FootNotes_chmx.csv	InventoryDetail	存货明细	
FootNotes_gdqk.csv	ShareholderDebt	股东欠款	该表基本无内容舍弃
FootNotes_slmx.csv	TaxRateDetail	税率明细	
FootNotes_srgc.csv	IncomeComposition	收入构成	
FootNotes_zkmx.csv	AccountDetail	账款明细	
FootNotes_zljg.csv	AccountAgeStructure	账龄结构	
FootNotes_Text.csv	FootNote	财务附注	
AddStock.csv	AdditionalStock	增发表	
CollectFund.csv	CollectFund	募资投向	
MarketBulletin.csv	MarketBulletin	上市公告	
NewStock.csv	NewStock	新股发行	
RaiseExplanation.csv	RaiseExplanation	招股说明	
ShareBonus_fh.csv	ShareBonusFh	分红	
ShareBonus_pg.csv	ShareBonusPg	配股	
CirculateStockHolder.csv	CirculateStockHolder	流通股东	
FundStockHolder.csv	FundStockHolder	基金持股	
StockHolder.csv	StockHolder	主要股东	
StockStructure.csv	StockStructure	股本结构	该文件基本无内容舍弃
CorpInfo.csv	PublicCompany	上市公司主表	
CorpManager_dsh.csv	BoardOfDirectors	董事会	
CorpManager_gsgg.csv	Executives	高管人员	
CorpManager_jsh.csv	SupervisoryBoard	监事会	
CorpOtherInfo_ssbk.csv	Plate	公司板块	
CorpRule_jsh.csv	PublicCompany	上市公司主表	
CorpXiangGuan_ssx.csv	CompanyRelatedDepartment	公司相关所属系	
CorpXiangGuan_sszs.csv	CompanyRelatedIndex	公司相关所属指数	
CorpXiangGuan_xgzq.csv	CompanyRelatedSecurities	公司相关所属证券	
gbjg.xls	StockStructure	股本结构	
gdrsmx.xls	DetailShareholders	股东人数明细	
gsgg.xls	Executives	高管人员	
gsjj.xls	PublicCompany	上市公司主表	
llqs.xls	ProfitTrend	利润趋势	
lsfh.xls	ShareBonusFh	分红	
lszf.xls	AdditionalStock	增发表	
sdgd.xls	TenLargestShareholders	十大股东	
sdltgd.xls	TenTradableShareholders	十大流通股东	
srqs.xls	IncomeTrend	收入趋势	
tzpj.xls	InvestmentRating	投资评级	
xgfx.xls	NewStock	新股发行	
xsjj.xls	RestrictedSale	限售解禁	
ylqs.xls	EarningTrend	盈利趋势	
ylyc.xls	EarningPrediction	盈利预测	
zyywgc.xls	MainActivity	主要业务	
cwzy.csv	FinanceGuideLine	财务指标	"存在互斥现象,影响范围新三板数据"
fhpx.csv	XsbFhpg	新三板分红配股	
gsjs.csv	PublicCompany	上市公司主表	
sdgd.csv	TenLargestShareholders	十大股东	
cwsj.csv	FinanceGuideLine	财务指标	
gbgk.csv	StockStructure	股本结构	
gsgk.csv	PublicCompany	上市公司主表	
sdgd (2).csv	TenLargestShareholders	十大股东	
sbf.sdgd.csv	Executives	高管人员	
