公司代码,年度,被购买方名称,股权取得时点,股权取得成本,股权取得比例,股权取得方式,购买日,购买日的确定依据,购买日至期末被购买方的收入,购买日至期末被购买方的净利润
900938,2015,Elbe Shipping Limited,2015.10.10,2201168.83,100,现金购买,2015.10.10,实际取得控制权,30960913.94,30960913.94
900936,2015,青海华晟,2015.1,108229232.98,50,购买,2015.1,取得被购买方的控制权,78919360.81,-17178766.79
900907,2015,洛阳鹏起实业有限公司,2015.12.1,1352000000,100,购买,2015.12.1,实际取得控制权,18092984.67,4443303.15
900904,2015,广东神奇医药有限公司,2015.6,9000000,30,并购,2015.6,公司控制权转移,49296750.48,-560141.84
603567,2015,牡丹江市药品营销有限公司,2015.12.25,2000000,100,现金购买,2015.12.25,取得控制权,N/A,N/A
603567,2015,安徽珍宝岛中药控股有限公司,2015.9.30,10000000,100,现金购买,2015.9.30,取得控制权,N/A,-1851726.92
603518,2015,南京云锦研究所有限公司,2015.8.31,135000000,100,现金购买,2015.8.31,工商变更完成，开始实施控制,9790914.71,N/A
603338,2015,浙江盛大丰和汽车装备有限公司,2015.5.31,31002361.8,100,现金购买,2015.5.31,获得对方控制权,133920,36019.2
603227,2015,新疆雪峰双兴商贸有限责任公司,2015.6.19,2550000,51,收购,2015.6.19,工商备案,6716698.03,-207021.61
603188,2015,江苏道博化工有限公司,2015.9.8,450000000,100,支付现金,2015.9.1,进行工商变更并实际开始控制生产经营,116408463.7,12020347.51
603077,2015,以色列STK,2015.10.14,566800000,51,购买,2015.10.14,完成股权变更手续,94425888.96,-2313246.26
603017,2015,重庆卓创国际工程设计有限公司,2015.12.1,598000000,100,现金购买股权,2015.12.1,工商变更,27930266.91,8069879.11
603015,2015,弘粤公司,2015.8.17,3750000,90,购买,2015.8.17,工商变更,4461291.82,-383222.54
603003,2015,常州龙宇江庆新材料科技有限公司,2015.3.1,21000000,70,股权转让,2015.3.1,实际取得控制权,1579468869.14,537441
601989,2015,大连大洋船舶工程有限公司,2015.1.21,319473104.61,100,现金购买,2015.1.21,实际取得控制权,16047702.44,-129386360.29
601901,2015,民族证券公司,2015.8.5,12792608370,100,发行股份购买资产,2015.8.5,实际取得控制权,755522196.02,-246155729.2
601900,2015,揭阳市新华书店有限公司,2015.10.1,4424924.47,105,股权交付,2015.10.1,交割重组协议约定,4929150.94,-488508.56
601900,2015,遂溪新华书店有限公司,2015.6.1,5127270.27,100,股权交付,2015.6.1,交割重组协议约定,35296.14,-418387.01
601900,2015,封开新华书店有限公司,2015.4.1,9908412.8,101,股权交付,2015.4.1,交割重组协议约定,127458.9,-381462.19
601900,2015,汕尾市新华书店有限公司,2015.11.1,703092.18,103,股权交付,2015.11.1,交割重组协议约定,2264593.96,-312809.31
601900,2015,普宁市新华书店有限公司,2015.10.1,56975.03,104,股权交付,2015.10.1,交割重组协议约定,9276680.71,2247337.65
601900,2015,惠东县新华书店有限公司,2015.4.1,18688145.6,102,股权交付,2015.4.1,交割重组协议约定,2620373.95,345411.05
601888,2015,中国国旅国际旅行社有限公司,2015.1.29,153000,51,增资,2015.1.1,实际取得控制权,22416331.3,58080.39
601801,2015,杭州蓝狮子创意股份有限公司,2015.12.31,157500000,45,购买,2015.12.31,实际取得控制权,N/A,N/A
601789,2015,南非安兰证券有限公司(Anglorand Securities Limited),2015.10.1,35882033.12,100,购买,201511.1,实际取得控制权,11283084.71,-623446.48
601789,2015,宁波建工建乐工程有限公司,2015.11.19,106000000,100,购买,2015.11.1,实际取得控制权,123861697.67,4085099.42
601777,2015,重庆无线绿洲通信技术有限公司,2015.5,300000000,100,购买,2015.5,取得生产经营权,157589904.06,8407485.41
601669,2015,贵州水电九局黔岩建设爆破工程有限公司,2015.3.31,2449000,55,收购,2015.3.31,实际取得控制权,7454427.4,-249240.6
601669,2015,南京金羚房地产开发有限公司,2015.9.1,1103187300,100,收购,2015.9.1,实际取得控制权,N/A,-2642893.86
601567,2015,巴西南森 ,2015.10.31,38931156,51,购买股权,2015.10.31,根据购股协议支付对价,15595939.81,-297821.56
601369,2015,内蒙古鼎承气体有限公司,2015.4.30,23147934.17,100,现金,2015.4.30,取得控制权,16249241.3,-84015.94
601369,2015,EKOL公司,2015.7.2,340554861.97,75,现金,2015.7.2,取得控制权,175955578.36,1000991.84
601311,2015,襄阳鸵龙,2015.12.31,198000000,100,现金,2015.12.31,工商变更,N/A,N/A
601258,2015,唐山市路通机动车检测服务有限公司,2015.7.31,35000000,100,现金代价,2015.7.31,实际取得控制权,0,-725224
601258,2015,潍坊春耕广告有限公司,2015.2.6,0,100,现金代价,2015.2.6,实际取得控制权,4157088,215788
601222,2015,江苏林洋微网科技有限公司,2015.8.31,6000000,51.52,现金收购及增资,2015.8.31,实际取得控制权,6384611.73,-871570.07
601208,2015,金张科技,2015.3.31,133447978.1,51,购买,2015.3.31,实际取得控制权,150471703.2,15072483.36
601118,2015,普洱景森木业有限公司,2015.5.31,22023071.61,55,增资,878056.08,具有控制权,111827421.19,878056.08
601118,2015,云南绿航生物科技发展有限公司,2015.5.31,0,100,购买,2015.5.31,具有控制权,11932950,114869.36
601101,2015,鄂尔多斯市京东方能源投资有限公司,2015.10.31,2620000000,50,收购,2015.10.31,实际取得控制权,0,-12289.37
600998,2015,九州通（常熟）医药工业供销有限公司,2015.4,10190000,51,收购,2015.4,控制权转移,75996685.89,796706.56
600998,2015,晋城九州通医药有限公司,2015.9,1036794.63,50,收购,2015.9,控制权转移,22260665.88,-535828.28
600998,2015,大连昌辉商贸有限公司,2015.12,665493.07,100,收购,2015.12,控制权转移,1812320.58,-51966.18
600998,2015,江苏九州通兆亿医疗用品有限公司,2015.6,7000000,70,收购,2015.6,控制权转移,4045948.82,490066.6
600998,2015,苏州市国征医药有限公司,2015.4,5200000,51,收购,2015.4,控制权转移,157532373.21,3594181.59
600998,2015,淄博愈烈双大药店有限公司,2015.9,N/A,53.33,无偿取得,2015.9,控制权转移,N/A,-3405.19
600998,2015,江西盈辉实业发展有限公司,2015.9,10510000,51,收购,2015.9,控制权转移,12951749.56,203275.65
600998,2015,江西九州通药业有限公司  ,2015.12,66733600,51,收购,2015.12,控制权转移,80848458.63,12036690.46
600998,2015,西安九州通医药有限公司,2015.4,13346752.48,90,收购,2015.4,控制权转移,109935158.8,-1642672.76
600998,2015,甘肃九州天润中药产业有限公司,2015.3,10200000,51,收购,2015.3,控制权转移,19906125.09,506738.08
600984,2015,庞源租赁,2015.8.14,1470957001.55,100,发行股份购买资产,2015.7.31,交易实际完成,385968849.63,66199772.02
600984,2015,天成机械,2015.8.10,321113418.97,100,发行股份购买资产,2015.7.31,交易实际完成,53575154.53,4578915.03
600893,2015,西安安泰叶片技术有限公司,2015.1.31,120000,51.87,现金,2015.1.31,股东变更,60258088.85,6040137.89
600892,2015,深圳淘乐网络科技有限公司,2015.12.14,812500000,100,购买,2015.12.14,实际取得控制权,10902000,7717800
600892,2015,无锡中联传统文化传播有限公司,2015.12.17,604758000,100,购买,2015.12.17,实际取得控制权,961100,-261500
600882,2015,妙可蓝多（天津）食品科技有限公司、妙可蓝多（天津）国际有限公司,2015.11,86000000,100,收购,2015.11.23,工商变更,12885390.29,2593795.79
600881,2015,吉林省东北亚药业股份有限公司,2015.3.4,102000000,100,现金,2015.4.2,工商变更,81333930.7,7712932.3
600881,2015,江苏威凯尔医药科技有限公司,2015.4.1,150000000,60,现金,2015.5.1,工商变更,24406481.95,-3754579.59
600869,2015,宜能电气,2015.11.30,51120000,60,现金,2015.11.30,股权交割,13291300,-490700
600869,2015,远东福斯特 ,2015.11.30,1200000000,100,发行股份并支付现金,2015.11.30,股权交割,"15,411.73万",22156100
600850,2015,教享科技,2015.12.28,40290000,40,支付现金,2015.12.28,董事会已入驻,0,0
600767,2015,健资科技有限公司,2015.8,40000000,51,增资,2015.8,实际取得控制权,612239.8,-2888161.07
600759,2015,克山股份有限公司,2015.8.12,2155539868.47,100,现金购买,2015.8.12,已支付全部收购款项并办理股权过户手续,100439951.16,8703884.83
600751,2015,Elbe Shipping Limited,2015.10.10,2201168.83,100,现金购买,2015.10.10,实际取得控制权,30960913.94,30960913.94
600745,2015,闻泰通讯股份有限公司,2015.12.25,1825800000,51,发行股份,2015.12.31,股权实际取得,N/A,N/A
600704,2015,上海双江,2015.06.30,42797000,70,股权收购,2015.06.30,办妥交接手续,28131987.5,-5539819.59
600704,2015,嘉兴锦江,2015.11.30,260208823.87,100,股权收购,2015.11.30,办妥交接手续,3701538.46,-3867237.68
600704,2015,和诚汽车,2015.10.22,305924181.02,100,股权收购,2015.10.22,办妥交接手续,1376295982.13,-21510817.54
600704,2015,湖北金杭,2015.07.01,8819596.88,100,股权收购,2015.07.01,办妥交接手续,103904152.6,2195101.47
